Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,83.879997,84.389999,83.500000,84.199997,74.860085,8792700
2017-01-04,84.449997,84.599998,84.239998,84.500000,75.126831,8096700
2017-01-05,84.410004,85.430000,84.379997,85.059998,75.624702,6852400
2017-01-06,84.940002,85.250000,84.620003,85.029999,75.598030,4799900
2017-01-09,84.059998,84.660004,83.750000,84.400002,75.037918,11000600
2017-01-10,84.339996,84.430000,83.239998,83.489998,74.228844,10918200
2017-01-11,83.389999,83.750000,83.279999,83.750000,74.460007,9572300
2017-01-12,83.709999,83.879997,83.370003,83.839996,74.540024,6545400
2017-01-13,83.849998,84.019997,83.440002,84.010002,74.691177,6762800
2017-01-17,83.900002,85.580002,83.879997,85.209999,75.758064,13145100
2017-01-18,84.800003,85.300003,84.589996,84.930000,76.107552,10520400
2017-01-19,84.629997,85.000000,84.279999,84.699997,75.901451,14074500
2017-01-20,86.889999,87.980003,86.419998,87.449997,78.365761,22944400
2017-01-23,87.089996,87.349998,86.849998,86.959999,77.926666,9408900
2017-01-24,87.220001,87.949997,87.220001,87.860001,78.733192,8704700
2017-01-25,87.839996,87.900002,87.059998,87.160004,78.105904,8082900
2017-01-26,87.120003,87.230003,86.589996,86.599998,77.604065,6542300
2017-01-27,86.449997,86.849998,86.019997,86.720001,77.711601,9332300
2017-01-30,86.779999,86.860001,86.500000,86.750000,77.738495,7350000
2017-01-31,86.629997,87.660004,86.529999,87.599998,78.500183,9712400
2017-02-01,87.029999,87.589996,86.750000,87.330002,78.258240,8291000
2017-02-02,87.610001,88.349998,87.250000,87.760002,78.643578,8997200
2017-02-03,88.120003,88.169998,87.389999,87.410004,78.329941,7161900
2017-02-06,87.500000,87.790001,87.129997,87.400002,78.320984,7483000
2017-02-07,87.639999,88.279999,87.480003,88.010002,78.867599,6646100
2017-02-08,88.070000,88.339996,87.809998,88.330002,79.154366,6815800
2017-02-09,88.330002,88.779999,88.029999,88.669998,79.459030,9914100
2017-02-10,88.559998,88.730003,87.970001,87.970001,78.831757,11057600
2017-02-13,88.040001,88.360001,87.639999,88.309998,79.136444,6905100
2017-02-14,88.000000,88.220001,87.230003,87.860001,78.733192,20123400
2017-02-15,89.809998,91.150002,89.809998,91.120003,81.654533,25847700
2017-02-16,90.919998,91.120003,90.540001,90.790001,81.358818,12408500
2017-02-17,90.610001,91.360001,90.449997,91.089996,81.627647,12152400
2017-02-21,90.580002,91.800003,90.580002,91.669998,82.147415,9018700
2017-02-22,91.449997,91.800003,91.250000,91.440002,81.941307,6749900
2017-02-23,91.610001,91.800003,90.910004,91.129997,81.663506,7611600
2017-02-24,90.970001,91.339996,90.669998,91.050003,81.591820,6643400
2017-02-27,90.529999,90.910004,90.059998,90.889999,81.448433,11840300
2017-02-28,90.900002,91.790001,90.650002,91.070000,81.609741,10535600
2017-03-01,91.050003,91.889999,90.709999,91.660004,82.138435,8792200
2017-03-02,91.400002,91.589996,90.879997,90.910004,81.466354,7031200
2017-03-03,90.910004,90.910004,89.889999,90.500000,81.098938,8334900
2017-03-06,89.889999,90.510002,89.589996,90.370003,80.982452,9533800
2017-03-07,90.139999,90.489998,90.059998,90.290001,80.910767,5363000
2017-03-08,90.019997,90.349998,89.760002,90.139999,80.776360,5503700
2017-03-09,90.139999,90.489998,90.099998,90.339996,80.955559,5587400
2017-03-10,90.800003,91.160004,90.650002,91.070000,81.609741,6797800
2017-03-13,91.059998,91.489998,90.849998,91.309998,81.824799,7397500
2017-03-14,91.260002,91.589996,90.820000,91.000000,81.546997,6686400
2017-03-15,91.000000,91.779999,90.730003,91.400002,81.905472,7855300
2017-03-16,91.440002,91.720001,91.099998,91.440002,81.941307,6601200
2017-03-17,91.449997,92.000000,90.919998,91.000000,81.546997,37010100
2017-03-20,90.959999,91.410004,90.940002,91.220001,81.744156,7772900
2017-03-21,91.300003,91.750000,91.029999,91.190002,81.717262,8211000
2017-03-22,91.309998,91.800003,90.750000,90.989998,81.538048,7798000
2017-03-23,90.910004,91.459999,90.599998,90.769997,81.340897,6831400
2017-03-24,90.769997,90.919998,90.209999,90.570000,81.161674,9252000
2017-03-27,90.449997,90.720001,90.180000,90.489998,81.089981,10072000
2017-03-28,90.169998,91.059998,90.129997,90.760002,81.331940,11855800
2017-03-29,90.559998,90.870003,90.389999,90.599998,81.188560,4252800
2017-03-30,90.500000,90.570000,90.099998,90.199997,80.830116,3691900
2017-03-31,90.029999,90.339996,89.839996,89.849998,80.516457,6942400
2017-04-03,89.860001,90.059998,89.449997,89.680000,80.364143,6967400
2017-04-04,89.750000,89.959999,89.419998,89.910004,80.570236,5680800
2017-04-05,90.000000,90.500000,89.760002,89.970001,80.624001,6320100
2017-04-06,89.769997,89.809998,89.309998,89.400002,80.113197,7231500
2017-04-07,89.459999,89.610001,89.180000,89.230003,79.960876,4739100
2017-04-10,89.129997,89.680000,88.750000,89.489998,80.193848,5956000
2017-04-11,89.660004,89.820000,89.290001,89.800003,80.471680,5186000
2017-04-12,89.699997,90.419998,89.559998,90.309998,80.928680,6286300
2017-04-13,90.050003,90.540001,89.790001,90.029999,80.677765,5040100
2017-04-17,90.230003,90.589996,90.129997,90.389999,81.000359,6931700
2017-04-18,90.400002,91.129997,90.339996,90.800003,81.367790,7087800
2017-04-19,90.099998,90.449997,89.500000,89.599998,80.907257,6919000
2017-04-20,89.699997,89.699997,89.309998,89.330002,80.663467,6983500
2017-04-21,89.169998,89.279999,88.610001,88.620003,80.022331,9061200
2017-04-24,89.120003,89.660004,89.010002,89.550003,80.862114,8338500
2017-04-25,89.580002,90.250000,89.470001,90.000000,81.268440,9088400
2017-04-26,89.849998,90.000000,87.610001,87.739998,79.227707,11951300
2017-04-27,87.580002,88.239998,87.230003,87.690002,79.182564,8517500
2017-04-28,87.519997,87.589996,87.150002,87.330002,78.857483,8295400
2017-05-01,87.379997,87.599998,87.080002,87.089996,78.640770,4546600
2017-05-02,87.290001,87.290001,86.019997,86.220001,77.855179,13197500
2017-05-03,86.300003,86.629997,85.900002,86.430000,78.044800,6122000
2017-05-04,86.849998,87.239998,86.300003,86.449997,78.062866,5986200
2017-05-05,86.540001,86.610001,86.129997,86.500000,78.108017,4506200
2017-05-08,86.330002,86.620003,86.239998,86.550003,78.153175,4634600
2017-05-09,86.800003,86.820000,86.220001,86.400002,78.017700,9577600
2017-05-10,86.480003,86.790001,86.389999,86.489998,78.098976,6178500
2017-05-11,86.610001,86.629997,85.879997,86.169998,77.810020,6064700
2017-05-12,86.239998,86.320000,85.919998,86.190002,77.828079,5892400
2017-05-15,86.650002,86.709999,86.250000,86.330002,77.954506,5820700
2017-05-16,86.879997,87.000000,86.190002,86.239998,77.873238,6554500
2017-05-17,86.239998,86.629997,85.930000,86.260002,77.891296,7805800
2017-05-18,86.180000,86.220001,85.519997,85.870003,77.539131,6985600
2017-05-19,86.000000,86.379997,85.669998,86.239998,77.873238,7320700
2017-05-22,86.250000,86.400002,86.029999,86.209999,77.846146,4260000
2017-05-23,86.279999,86.540001,85.980003,86.080002,77.728760,4394200
2017-05-24,86.449997,86.650002,86.209999,86.500000,78.108017,4878800
