Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,267.839996,268.809998,267.399994,268.769989,255.195923,86655700
2018-01-03,268.959991,270.640015,268.959991,270.470001,256.810028,90070400
2018-01-04,271.200012,272.160004,270.540009,271.609985,257.892456,80636400
2018-01-05,272.510010,273.559998,271.950012,273.420013,259.611115,83524000
2018-01-08,273.309998,274.100006,272.980011,273.920013,260.085846,57319200
2018-01-09,274.399994,275.250000,274.079987,274.540009,260.674530,57254000
2018-01-10,273.679993,274.420013,272.920013,274.119995,260.275726,69574300
2018-01-11,274.750000,276.119995,274.559998,276.119995,262.174683,62361500
2018-01-12,276.420013,278.109985,276.079987,277.920013,263.883820,90816100
2018-01-16,279.350006,280.089996,276.179993,276.970001,262.981812,106555100
2018-01-17,278.029999,280.049988,276.970001,279.609985,265.488434,113258800
2018-01-18,279.480011,279.959991,278.579987,279.140015,265.042236,100728000
2018-01-19,279.799988,280.410004,279.140015,280.410004,266.248047,140920100
2018-01-22,280.170013,282.690002,280.109985,282.690002,268.412872,91322400
2018-01-23,282.739990,283.619995,282.369995,283.290009,268.982666,97084700
2018-01-24,284.019989,284.700012,281.839996,283.179993,268.878113,134816100
2018-01-25,284.160004,284.269989,282.399994,283.299988,268.992096,84587300
2018-01-26,284.250000,286.630005,283.959991,286.579987,272.106415,107743100
2018-01-29,285.929993,286.429993,284.500000,284.679993,270.302399,90118300
2018-01-30,282.600006,284.739990,281.220001,281.760010,267.529877,131796400
2018-01-31,282.730011,283.299988,280.679993,281.899994,267.662811,108364800
2018-02-01,281.070007,283.059998,280.679993,281.579987,267.358917,90102500
2018-02-02,280.079987,280.230011,275.410004,275.450012,261.538574,173174800
2018-02-05,273.450012,275.850006,263.309998,263.929993,250.600327,294681800
2018-02-06,259.940002,269.700012,258.700012,269.130005,255.537796,355026800
2018-02-07,268.500000,272.359985,267.579987,267.670013,254.151489,167376100
2018-02-08,268.010010,268.170013,257.589996,257.630005,244.618561,246449500
2018-02-09,260.799988,263.609985,252.919998,261.500000,248.293091,283565300
2018-02-12,263.829987,267.010010,261.660004,265.339996,251.939163,143736000
2018-02-13,263.970001,266.619995,263.309998,266.000000,252.565857,81223600
2018-02-14,264.309998,270.000000,264.299988,269.589996,255.974503,120735700
2018-02-15,271.570007,273.040009,268.769989,273.029999,259.240784,111200300
2018-02-16,272.320007,275.320007,272.269989,273.109985,259.316742,160420100
2018-02-20,272.029999,273.670013,270.500000,271.399994,257.693054,86369700
2018-02-21,271.899994,274.720001,269.940002,270.049988,256.411285,98883700
